Company,ID,Title,Difficulty,Acceptance,Frequency,LeetCodeLink
Amazon,233,Number of Digit One,Hard,31.3%,0.795650018929816,https://leetcode.com/problems/number-of-digit-one
Amazon,658,Find K Closest Elements,Medium,40.9%,0.7930910425507767,https://leetcode.com/problems/find-k-closest-elements
Amazon,451,Sort Characters By Frequency,Medium,63.0%,0.7861677199821956,https://leetcode.com/problems/sort-characters-by-frequency
Amazon,351,Android Unlock Patterns,Medium,48.4%,0.7857399673877702,https://leetcode.com/problems/android-unlock-patterns
Amazon,350,Intersection of Two Arrays II,Easy,51.4%,0.7772102863639844,https://leetcode.com/problems/intersection-of-two-arrays-ii
Amazon,632,Smallest Range Covering Elements from K Lists,Hard,52.4%,0.7767122589059875,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists
Amazon,159,Longest Substring with At Most Two Distinct Characters,Medium,49.4%,0.771917623430825,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters
Amazon,843,Guess the Word,Hard,46.1%,0.7713993774596936,https://leetcode.com/problems/guess-the-word
Amazon,421,Maximum XOR of Two Numbers in an Array,Medium,53.5%,0.7687845947655654,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array
Amazon,198,House Robber,Easy,42.0%,0.7668348963511045,https://leetcode.com/problems/house-robber
Amazon,432,All O`one Data Structure,Hard,32.4%,0.7611889165572873,https://leetcode.com/problems/all-oone-data-structure
Amazon,992,Subarrays with K Different Integers,Hard,48.6%,0.7610084034915754,https://leetcode.com/problems/subarrays-with-k-different-integers
Amazon,785,Is Graph Bipartite?,Medium,47.5%,0.7560954548741816,https://leetcode.com/problems/is-graph-bipartite
Amazon,280,Wiggle Sort,Medium,63.8%,0.7489731078762181,https://leetcode.com/problems/wiggle-sort
Amazon,337,House Robber III,Medium,50.6%,0.7463018264794276,https://leetcode.com/problems/house-robber-iii
Amazon,807,Max Increase to Keep City Skyline,Medium,83.7%,0.7460467230427119,https://leetcode.com/problems/max-increase-to-keep-city-skyline
Amazon,465,Optimal Account Balancing,Hard,46.9%,0.7448354308022082,https://leetcode.com/problems/optimal-account-balancing
Amazon,410,Split Array Largest Sum,Hard,44.5%,0.7441136241519729,https://leetcode.com/problems/split-array-largest-sum
Amazon,189,Rotate Array,Easy,34.7%,0.7416200263554233,https://leetcode.com/problems/rotate-array
