ID,Title,Difficulty,Acceptance,Companies,CompanyCount,AvgFrequency,LeetCodeLink
515,Find Largest Value in Each Tree Row,Medium,61.1%,"Amazon, Apple, Facebook, LinkedIn, Meta, Microsoft",6,0.261,https://leetcode.com/problems/find-largest-value-in-each-tree-row
451,Sort Characters By Frequency,Medium,63.0%,"Amazon, Facebook, Google, LinkedIn, Meta, Uber",6,0.258,https://leetcode.com/problems/sort-characters-by-frequency
181,Employees Earning More Than Their Managers,Easy,56.9%,"Adobe, Amazon, Apple, Facebook, Google, Meta",6,0.257,https://leetcode.com/problems/employees-earning-more-than-their-managers
435,Non-overlapping Intervals,Medium,42.9%,"Amazon, Apple, Facebook, Google, Meta, Microsoft",6,0.239,https://leetcode.com/problems/non-overlapping-intervals
979,Distribute Coins in Binary Tree,Medium,68.9%,"Amazon, Facebook, Google, Meta, Microsoft, Uber",6,0.221,https://leetcode.com/problems/distribute-coins-in-binary-tree
95,Unique Binary Search Trees II,Medium,40.6%,"Adobe, Amazon, Apple, Facebook, Meta, Microsoft",6,0.181,https://leetcode.com/problems/unique-binary-search-trees-ii
1108,Defanging an IP Address,Easy,87.5%,"Adobe, Amazon, Apple, Facebook, Google, Meta",6,0.13,https://leetcode.com/problems/defanging-an-ip-address
338,Counting Bits,Medium,69.5%,"Amazon, Apple, Facebook, Meta, Microsoft, Uber",6,0.096,https://leetcode.com/problems/counting-bits
876,Middle of the Linked List,Easy,68.4%,"Adobe, Amazon, Apple, Microsoft, Oracle, Samsung",6,0.084,https://leetcode.com/problems/middle-of-the-linked-list
154,Find Minimum in Rotated Sorted Array II,Hard,41.6%,"Adobe, Amazon, Facebook, Google, Meta, Uber",6,0.03,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii
325,Maximum Size Subarray Sum Equals k,Medium,46.8%,"Amazon, Facebook, Google, Meta, Microsoft",5,2.289,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k
339,Nested List Weight Sum,Easy,74.0%,"Amazon, Facebook, LinkedIn, Meta, Uber",5,2.035,https://leetcode.com/problems/nested-list-weight-sum
285,Inorder Successor in BST,Medium,40.4%,"Amazon, Facebook, Google, Meta, Microsoft",5,1.982,https://leetcode.com/problems/inorder-successor-in-bst
393,UTF-8 Validation,Medium,37.5%,"Amazon, Apple, Facebook, Google, Meta",5,1.908,https://leetcode.com/problems/utf-8-validation
489,Robot Room Cleaner,Hard,69.7%,"Amazon, Facebook, Google, Meta, Microsoft",5,1.896,https://leetcode.com/problems/robot-room-cleaner
252,Meeting Rooms,Easy,54.6%,"Amazon, Facebook, Google, Meta, Microsoft",5,1.551,https://leetcode.com/problems/meeting-rooms
708,Insert into a Sorted Circular Linked List,Medium,31.6%,"Amazon, Facebook, Google, Meta, Microsoft",5,1.547,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list
298,Binary Tree Longest Consecutive Sequence,Medium,47.1%,"Amazon, Facebook, Google, Meta, Uber",5,1.547,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence
272,Closest Binary Search Tree Value II,Hard,50.5%,"Amazon, Facebook, Google, LinkedIn, Meta",5,1.494,https://leetcode.com/problems/closest-binary-search-tree-value-ii
358,Rearrange String k Distance Apart,Hard,34.9%,"Amazon, Facebook, Google, Meta, Microsoft",5,1.481,https://leetcode.com/problems/rearrange-string-k-distance-apart
568,Maximum Vacation Days,Hard,40.8%,"Facebook, Google, Meta, Microsoft, Uber",5,1.369,https://leetcode.com/problems/maximum-vacation-days
163,Missing Ranges,Medium,24.3%,"Amazon, Facebook, Google, Meta, Oracle",5,1.322,https://leetcode.com/problems/missing-ranges
843,Guess the Word,Hard,46.1%,"Amazon, Facebook, Google, Meta, Microsoft",5,1.3,https://leetcode.com/problems/guess-the-word
686,Repeated String Match,Easy,32.3%,"Adobe, Amazon, Facebook, Google, Meta",5,1.2,https://leetcode.com/problems/repeated-string-match
249,Group Shifted Strings,Medium,55.1%,"Amazon, Facebook, Google, Meta, Uber",5,1.198,https://leetcode.com/problems/group-shifted-strings
280,Wiggle Sort,Medium,63.8%,"Amazon, Facebook, Google, Meta, Microsoft",5,1.193,https://leetcode.com/problems/wiggle-sort
261,Graph Valid Tree,Medium,42.2%,"Amazon, Facebook, Google, LinkedIn, Meta",5,1.126,https://leetcode.com/problems/graph-valid-tree
135,Candy,Hard,31.6%,"Amazon, Apple, Google, Microsoft, Uber",5,1.112,https://leetcode.com/problems/candy
505,The Maze II,Medium,47.7%,"Amazon, Facebook, Google, Meta, Oracle",5,1.084,https://leetcode.com/problems/the-maze-ii
819,Most Common Word,Easy,44.8%,"Amazon, Apple, Google, Microsoft, Oracle",5,1.039,https://leetcode.com/problems/most-common-word
187,Repeated DNA Sequences,Medium,38.9%,"Amazon, Apple, Google, LinkedIn, Microsoft",5,1.0,https://leetcode.com/problems/repeated-dna-sequences
222,Count Complete Tree Nodes,Medium,46.8%,"Amazon, Facebook, Google, Meta, Microsoft",5,0.983,https://leetcode.com/problems/count-complete-tree-nodes
909,Snakes and Ladders,Medium,38.4%,"Amazon, Apple, Google, Microsoft, Uber",5,0.979,https://leetcode.com/problems/snakes-and-ladders
334,Increasing Triplet Subsequence,Medium,40.0%,"Amazon, Facebook, Google, Meta, Uber",5,0.979,https://leetcode.com/problems/increasing-triplet-subsequence
192,Word Frequency,Medium,25.8%,"Adobe, Amazon, Facebook, Google, Meta",5,0.898,https://leetcode.com/problems/word-frequency
791,Custom Sort String,Medium,65.7%,"Amazon, Facebook, Google, Meta, Uber",5,0.847,https://leetcode.com/problems/custom-sort-string
345,Reverse Vowels of a String,Easy,44.2%,"Amazon, Apple, Facebook, Google, Meta",5,0.799,https://leetcode.com/problems/reverse-vowels-of-a-string
655,Print Binary Tree,Medium,55.0%,"Facebook, LinkedIn, Meta, Microsoft, Uber",5,0.766,https://leetcode.com/problems/print-binary-tree
1060,Missing Element in Sorted Array,Medium,54.5%,"Amazon, Apple, Facebook, Google, Meta",5,0.742,https://leetcode.com/problems/missing-element-in-sorted-array
130,Surrounded Regions,Medium,28.1%,"Amazon, Facebook, Google, Meta, Uber",5,0.741,https://leetcode.com/problems/surrounded-regions
